"habitat","MPA","MPA_type","period_1","period_2","SumOfSqs","R2","F.stat","p.value","distance","sd_pooled"
"Rocky intertidal","occulto","ref","before","after",0.0604057367782428,0.369046581493548,5.26412748710382,0.005,0.11430814309766,0.018680815076265
"Rocky intertidal","point lobos smr","smr","before","during",0.0835542341562785,0.475770690675893,7.26049737721543,0.005,0.165382670428679,0.0288019084954084
"Rocky intertidal","point lobos smr","smr","before","after",0.160171798043532,0.6300225232552,15.3258051251805,0.001,0.187790955965769,0.0247742378083572
"Rocky intertidal","point sierra nevada","ref","before","during",0.0284402849443286,0.430051217399032,6.03634895664116,0.008,0.0931397136291051,0.0162136068538152
"Rocky intertidal","point sierra nevada","ref","before","after",0.103927777129727,0.728010769640638,24.0895454504168,0.007,0.124795366699952,0.0133693077454103
"Rocky intertidal","sandhill bluff","ref","before","during",0.0520948596208964,0.194696115150012,1.93413809432974,0.166,0.202388900464591,0.0360177943680641
"Rocky intertidal","sandhill bluff","ref","before","after",0.0765802860439635,0.295417096938598,3.77351460118481,0.029,0.227906138708426,0.0300252136197461
"Rocky intertidal","shell beach","ref","before","during",0.0256621350287222,0.288546420459858,3.24458465044326,0.019,0.118688960882863,0.011355223209148
"Rocky intertidal","shell beach","ref","before","after",0.0639210148505453,0.409375902021214,6.23811851023265,0.002,0.164346771207147,0.0155792373038649
"Rocky intertidal","vandenberg smr","smr","before","during",0.0387600271130388,0.370307105232783,4.7046057951113,0.019,0.12520756034677,0.0123649124732205
"Rocky intertidal","vandenberg smr","smr","before","after",0.0802916084414553,0.57714697560265,12.2839910813617,0.004,0.148384447132393,0.00922681489256835
"Kelp forest fishes","big creek smr","ref","before","during",0.105255927771008,0.490510306941678,3.850992972967,0.166666666666667,0.182644467330147,NA
"Kelp forest fishes","big creek smr","smr","before","during",0.062585033904061,0.322024314009538,1.8999165938471,0.166666666666667,0.0991965437075493,NA
"Kelp forest fishes","carmel bay smca","ref","before","during",0.0343579912731724,0.121860452331761,1.11016935889375,0.317,0.0961933933227944,0.0355508443898453
