"join_ID","group","mlpa_region","region4","affiliated_mpa","mpa_defacto_class","mpa_defacto_designation","year","variable","indicator","mean","sd","n"
"kelp","kelp forest-fish","central","central","point lobos smr","smr","ref",2008,"all fish","diversity",1.7945,0.0787,4
"kelp","kelp forest-fish","central","central","point lobos smr","smr","ref",2006,"all fish","diversity",1.8232,0.0788,3
"ccfrp","ccfrp","central","central","point lobos smr","smr","smr",2021,"all fish","diversity",1.407177,0.079551,12
"kelp","kelp forest-fish","central","central","point lobos smr","smr","ref",2012,"all fish","diversity",1.348,0.0796,2
"kelp","kelp forest-fish","south","north islands","gull island smr","smr","smr",2020,"all fish","diversity",1.9264,0.0797,2
"kelp","kelp forest-fish","central","central","carmel bay smca","smca","ref",2016,"all fish","diversity",1.2155,0.0804,2
"kelp","kelp forest-fish","south","north islands","santa barbara island smr","smr","ref",2011,"all fish","diversity",0.6984,0.082,2
"kelp","kelp forest-fish","north","north","ten mile smr","smr","smr",2019,"all fish","diversity",1.2787,0.0824,3
"kelp","kelp forest-fish","north","north","ten mile smr","smr","smr",2014,"all fish","diversity",1.1034,0.0829,3
"kelp","kelp forest-fish","south","north islands","gull island smr","smr","ref",2017,"all fish","diversity",2.3366,0.0829,2
"kelp","kelp forest-fish","central","central","cambria smca","smca","smca",2008,"all fish","diversity",2.3145,0.0837,4
"ccfrp","ccfrp","south","north islands","carrington point smr","smr","ref",2020,"all fish","diversity",1.390453,0.084484,12
"kelp","kelp forest-fish","north","north","stewarts point smca","smr","smr",2010,"all fish","diversity",1.231,0.0847,2
"kelp","kelp forest-fish","central","central","lovers point - julia platt smr","smr","smr",2018,"all fish","diversity",1.6947,0.0851,4
"kelp","kelp forest-fish","central","central","big creek smr","smr","smr",2011,"all fish","diversity",1.9952,0.0852,2
"kelp","kelp forest-fish","central","central","lovers point - julia platt smr","smr","smr",2013,"all fish","diversity",1.1455,0.086,4
"ccfrp","ccfrp","central","central","ano nuevo smr","smr","smr",2015,"all fish","diversity",1.50832,0.088717,12
"kelp","kelp forest-fish","south","north islands","anacapa island smca","smca","ref",2015,"all fish","diversity",1.2268,0.0908,3
"kelp","kelp forest-fish","south","north islands","anacapa island smr","smr","ref",2015,"all fish","diversity",1.2268,0.0908,3
"deep_reef","deep-reef","north","north","sea lion gulch smr","smr","smr",2014,"all fish","diversity",1.476825,0.090977,6
"ccfrp","ccfrp","north","north","bodega head smr","smr","smr",2018,"all fish","diversity",1.527433,0.091097,12
"kelp","kelp forest-fish","central","central","lovers point - julia platt smr","smr","smr",2004,"all fish","diversity",1.8451,0.0911,2
"kelp","kelp forest-fish","south","north islands","south point smr","smr","smr",2016,"all fish","diversity",1.859,0.0914,2
"kelp","kelp forest-fish","central","central","cambria smca","smca","smca",2007,"all fish","diversity",2.0798,0.0918,4
"kelp","kelp forest-fish","south","north islands","painted cave smca","smca","smca",2019,"all fish","diversity",1.8938,0.0923,3
"kelp","kelp forest-fish","south","north islands","scorpion smr","smr","ref",2020,"all fish","diversity",1.9615,0.0937,6
"ccfrp","ccfrp","south","north islands","carrington point smr","smr","ref",2021,"all fish","diversity",1.441343,0.094391,12
"kelp","kelp forest-fish","south","north islands","scorpion smr","smr","smr",2020,"all fish","diversity",2.0581,0.0944,3
"kelp","kelp forest-fish","south","south","point vicente smca","smr","smr",2019,"all fish","diversity",1.4676,0.0945,2
"ccfrp","ccfrp","south","north islands","carrington point smr","smr","smr",2021,"all fish","diversity",1.429255,0.095244,12
"ccfrp","ccfrp","south","north islands","carrington point smr","smr","smr",2020,"all fish","diversity",1.440917,0.096157,12
"kelp","kelp forest-fish","south","north islands","anacapa island smca","smca","ref",1999,"all fish","diversity",1.5982,0.0962,2
"ccfrp","ccfrp","central","central","point buchon smr","smr","ref",2011,"all fish","diversity",1.350999,0.096383,12
"ccfrp","ccfrp","central","central","point lobos smr","smr","ref",2021,"all fish","diversity",1.344811,0.096758,12
"kelp","kelp forest-fish","south","south","point dume smr","smr","smr",2013,"all fish","diversity",1.7335,0.097,2
"kelp","kelp forest-fish","south","south","naples smca","smca","smca",2005,"all fish","diversity",2.1885,0.0979,3
"ccfrp","ccfrp","north","north","bodega head smr","smr","smr",2021,"all fish","diversity",1.441265,0.098053,12
"kelp","kelp forest-fish","south","north islands","anacapa island smca","smca","ref",2010,"all fish","diversity",1.9197,0.0982,3
"kelp","kelp forest-fish","south","north islands","anacapa island smr","smr","ref",2010,"all fish","diversity",1.9197,0.0982,3
"ccfrp","ccfrp","central","central","ano nuevo smr","smr","smr",2008,"all fish","diversity",1.306204,0.098401,12
"ccfrp","ccfrp","south","north islands","carrington point smr","smr","smr",2017,"all fish","diversity",1.412217,0.098606,12
"kelp","kelp forest-fish","south","south","naples smca","smca","smca",2008,"all fish","diversity",1.8155,0.0989,3
"kelp","kelp forest-fish","south","north islands","south point smr","smr","smr",2004,"all fish","diversity",2.1423,0.0991,2
"ccfrp","ccfrp","central","central","ano nuevo smr","smr","smr",2020,"all fish","diversity",1.448073,0.100141,12
"kelp","kelp forest-fish","south","north islands","harris point smr","smr","smr",2010,"all fish","diversity",2.2742,0.1003,2
"kelp","kelp forest-fish","central","central","point lobos smr","smr","smr",2004,"all fish","diversity",1.5335,0.1005,6
"kelp","kelp forest-fish","south","south","point vicente smca","smr","smr",2010,"all fish","diversity",1.9038,0.1006,2
"ccfrp","ccfrp","central","central","piedras blancas smr","smr","ref",2014,"all fish","diversity",1.455362,0.100706,12
"kelp","kelp forest-fish","south","north islands","scorpion smr","smr","ref",2002,"all fish","diversity",1.6217,0.1009,3
"kelp","kelp forest-fish","south","north islands","painted cave smca","smca","smca",2003,"all fish","diversity",2.183,0.1011,3
"kelp","kelp forest-fish","south","south","campus point smca","smr","ref",2012,"all fish","diversity",1.8607,0.1025,2
"kelp","kelp forest-fish","south","south","naples smca","smca","ref",2012,"all fish","diversity",1.8607,0.1025,2
"kelp","kelp forest-fish","south","south","naples smca","smca","smca",2019,"all fish","diversity",1.9286,0.1026,3
"kelp","kelp forest-fish","central","central","natural bridges smr","smr","smr",2003,"all fish","diversity",2.1559,0.1027,2
"kelp","kelp forest-fish","south","north islands","scorpion smr","smr","smr",2018,"all fish","diversity",2.3018,0.1029,3
"kelp","kelp forest-fish","central","central","point buchon smr","smr","smr",2019,"all fish","diversity",1.2966,0.1031,4
"kelp","kelp forest-fish","north","north","salt point smca","smca","smca",2011,"all fish","diversity",1.2877,0.1033,3
"kelp","kelp forest-fish","central","central","point sur smr","smr","ref",2011,"all fish","diversity",2.0685,0.1036,2
"kelp","kelp forest-fish","central","central","natural bridges smr","smr","smr",2005,"all fish","diversity",0.7377,0.104,2
"kelp","kelp forest-fish","central","central","white rock smca","smr","smr",2003,"all fish","diversity",1.9787,0.1043,2
"deep_reef","deep-reef","central","central","montara smr","smr","smr",2020,"all fish","diversity",1.573656,0.104314,2
"ccfrp","ccfrp","central","central","ano nuevo smr","smr","ref",2013,"all fish","diversity",1.052458,0.104612,12
"ccfrp","ccfrp","central","central","piedras blancas smr","smr","smr",2019,"all fish","diversity",1.389228,0.104685,12
"kelp","kelp forest-fish","central","central","natural bridges smr","smr","ref",2001,"all fish","diversity",1.77,0.1048,2
"kelp","kelp forest-fish","central","central","natural bridges smr","smr","ref",2002,"all fish","diversity",1.9348,0.1048,2
"ccfrp","ccfrp","central","central","point lobos smr","smr","smr",2008,"all fish","diversity",1.318633,0.105144,12
"kelp","kelp forest-fish","central","central","big creek smr","smr","smr",2001,"all fish","diversity",1.5619,0.1068,2
"kelp","kelp forest-fish","south","north islands","gull island smr","smr","ref",2019,"all fish","diversity",2.1336,0.1069,2
"ccfrp","ccfrp","central","central","point buchon smr","smr","smr",2014,"all fish","diversity",1.539314,0.107163,12
"kelp","kelp forest-fish","central","central","carmel bay smca","smca","smca",2018,"all fish","diversity",1.653,0.1079,4
"kelp","kelp forest-fish","central","central","lovers point - julia platt smr","smr","ref",2013,"all fish","diversity",1.1194,0.1083,4
"kelp","kelp forest-fish","south","south","blue cavern onshore smca","smr","smr",2019,"all fish","diversity",1.3176,0.109,2
"kelp","kelp forest-fish","south","south","naples smca","smca","ref",2009,"all fish","diversity",2.2244,0.1092,2
"ccfrp","ccfrp","central","central","point buchon smr","smr","ref",2018,"all fish","diversity",1.291317,0.109583,12
"kelp","kelp forest-fish","central","central","white rock smca","smr","ref",2003,"all fish","diversity",1.0422,0.1103,2
"kelp","kelp forest-fish","central","central","point sur smr","smr","smr",1999,"all fish","diversity",1.7817,0.1103,2
"kelp","kelp forest-fish","south","south","point dume smr","smr","smr",2011,"all fish","diversity",1.9647,0.1104,2
"ccfrp","ccfrp","central","central","point buchon smr","smr","smr",2007,"all fish","diversity",1.35165,0.110983,12
"kelp","kelp forest-fish","south","north islands","gull island smr","smr","smr",2009,"all fish","diversity",1.5314,0.1111,2
"kelp","kelp forest-fish","south","north islands","gull island smr","smr","smr",2016,"all fish","diversity",1.5808,0.1114,2
"kelp","kelp forest-fish","central","central","lovers point - julia platt smr","smr","ref",2015,"all fish","diversity",2.1873,0.1115,4
"kelp","kelp forest-fish","central","central","vandenberg smr","smr","smr",2003,"all fish","diversity",1.8477,0.1117,2
"kelp","kelp forest-fish","south","north islands","gull island smr","smr","ref",2012,"all fish","diversity",2.2618,0.113,2
"ccfrp","ccfrp","north","north","bodega head smr","smr","ref",2020,"all fish","diversity",1.506316,0.113534,12
"kelp","kelp forest-fish","central","central","lovers point - julia platt smr","smr","smr",2006,"all fish","diversity",1.9852,0.1136,2
"ccfrp","ccfrp","central","central","piedras blancas smr","smr","smr",2021,"all fish","diversity",1.438707,0.11363,12
"kelp","kelp forest-fish","south","north islands","anacapa island smca","smca","smca",2020,"all fish","diversity",2.148,0.1139,3
"kelp","kelp forest-fish","central","central","lovers point - julia platt smr","smr","smr",2014,"all fish","diversity",1.9288,0.114,4
"kelp","kelp forest-fish","south","south","naples smca","smca","smca",2014,"all fish","diversity",2.0765,0.1142,3
"ccfrp","ccfrp","central","central","ano nuevo smr","smr","smr",2021,"all fish","diversity",1.349457,0.114974,12
"kelp","kelp forest-fish","south","south","point conception smr","smr","ref",2009,"all fish","diversity",1.9017,0.1154,2
"kelp","kelp forest-fish","north","north","stewarts point smr","smr","smr",2010,"all fish","diversity",1.3048,0.1167,4
"ccfrp","ccfrp","central","central","point buchon smr","smr","ref",2020,"all fish","diversity",1.224793,0.117781,12
"ccfrp","ccfrp","central","central","ano nuevo smr","smr","smr",2011,"all fish","diversity",1.491103,0.117968,12
"kelp","kelp forest-fish","central","central","natural bridges smr","smr","smr",2001,"all fish","diversity",2.2843,0.1181,2
"kelp","kelp forest-fish","south","south","naples smca","smca","smca",2020,"all fish","diversity",2.0857,0.1188,3
"ccfrp","ccfrp","central","central","ano nuevo smr","smr","ref",2010,"all fish","diversity",1.413205,0.118944,12
"kelp","kelp forest-fish","central","central","lovers point - julia platt smr","smr","smr",2015,"all fish","diversity",2.0135,0.1193,4
"ccfrp","ccfrp","south","north islands","carrington point smr","smr","ref",2019,"all fish","diversity",1.380444,0.11934,12
"kelp","kelp forest-fish","north","north","saunders reef smca","smca","smca",2019,"all fish","diversity",1.3417,0.1195,3
"ccfrp","ccfrp","central","central","point buchon smr","smr","ref",2014,"all fish","diversity",1.461503,0.120004,12
"kelp","kelp forest-fish","north","north","ten mile smr","smr","smr",2020,"all fish","diversity",1.251,0.1207,3
"kelp","kelp forest-fish","south","south","naples smca","smca","smca",2006,"all fish","diversity",2.0685,0.1208,3
"ccfrp","ccfrp","north","north","south cape mendocino smr","smr","smr",2018,"all fish","diversity",1.530189,0.121727,12
