"class","order","family","genus","species","target_status","Surf zone","Kelp forest","Shallow reef","Deep reef"
"Actinopterygii","Perciformes","Sebastidae","Sebastes","entomelas","Targeted",NA,NA,NA,"X"
"Actinopterygii","Perciformes","Sebastidae","Sebastes","ruberrimus","Targeted",NA,NA,NA,"X"
"Elasmobranchii","Rajiformes","Rajidae","Raja","rhina","Targeted",NA,NA,NA,"X"
"Actinopterygii","Perciformes","Sebastidae","Sebastes","nigrocinctus","Targeted",NA,NA,NA,"X"
"Actinopterygii","Pleuronectiformes","Pleuronectidae ","Microstomus","pacificus","Targeted",NA,NA,NA,"X"
"Actinopterygii","Perciformes","Sebastidae","Sebastes","saxicola","Targeted",NA,NA,NA,"X"
"Actinopterygii","Pleuronectiformes ","Pleuronectidae","Lyopsetta","exilis","Targeted",NA,NA,NA,"X"
"Actinopterygii","Pleuronectiformes ","Pleuronectidae","Pleuronichthys","ritteri","Nontargeted",NA,NA,NA,"X"
"Actinopterygii","Perciformes","Cottidae","Enophrys","bison","Nontargeted",NA,NA,NA,"X"
"Myxini","Myxiniformes","Myxinidae","Eptatretus","stoutii","Targeted",NA,NA,NA,"X"
"Actinopterygii","Pleuronectiformes ","Pleuronectidae","Glyptocephalus","zachirus","Targeted",NA,NA,NA,"X"
"Actinopterygii","Perciformes","Sebastidae","Sebastes","levis","Targeted",NA,NA,NA,"X"
"Actinopterygii","Gadiformes","Merlucciidae","Merluccius","productus","Targeted",NA,NA,NA,"X"
"Actinopterygii","Perciformes","Sebastidae","Sebastes","rufus","Targeted",NA,NA,NA,"X"
"Actinopterygii","Perciformes","Sebastidae","Sebastolobus","alascanus","Targeted",NA,NA,NA,"X"
"Actinopterygii","Perciformes","Sebastidae","Sebastes","babcocki","Nontargeted",NA,NA,NA,"X"
"Actinopterygii","Perciformes","Sebastidae","Sebastes","rosenblatti","Targeted",NA,NA,NA,"X"
"Actinopterygii","Perciformes","Anoplopomatidae","Anoplopoma","fimbria","Targeted",NA,NA,NA,"X"
"Actinopterygii","Perciformes","Hexagrammidae","Hexagrammos","lagocephalus","Targeted",NA,NA,NA,"X"
"Actinopterygii","Perciformes","Ammodytidae","Ammodytes","hexapterus","Targeted",NA,NA,NA,"X"
