"year","group","region3","region4","affiliated_mpa","mpa_class","mpa_designation","target_status","sum_biomass"
2009,"deep_reef","Central","central","carmel bay smca","smca","ref","nontargeted",0.000632569
2009,"deep_reef","Central","central","carmel bay smca","smca","ref","targeted",0.004062909
2009,"deep_reef","Central","central","piedras blancas smca","smr","ref","targeted",0.005313153
2009,"deep_reef","Central","central","point buchon smr","smr","smr","nontargeted",0.000100003
2009,"deep_reef","Central","central","point buchon smr","smr","smr","targeted",0.020131192
2009,"deep_reef","Central","central","point buchon smr","smr","ref","nontargeted",4.38e-05
2009,"deep_reef","Central","central","point buchon smr","smr","ref","targeted",0.003239918
2009,"deep_reef","Central","central","point lobos smr","smr","smr","targeted",0.007893093
2009,"deep_reef","Central","central","point lobos smr","smr","ref","nontargeted",0.000632569
2009,"deep_reef","Central","central","point lobos smr","smr","ref","targeted",0.006212493
2009,"deep_reef","South","north islands","anacapa island smr","smr","smr","nontargeted",0.002690947
2009,"deep_reef","South","north islands","anacapa island smr","smr","smr","targeted",0.016421709
2009,"deep_reef","South","north islands","carrington point smr","smr","smr","targeted",0.013447037
2009,"deep_reef","South","north islands","carrington point smr","smr","ref","targeted",0.019201551
2009,"deep_reef","South","north islands","gull island smr","smr","smr","targeted",0.016697285
2009,"deep_reef","South","north islands","gull island smr","smr","ref","targeted",0.01478
2009,"deep_reef","South","north islands","harris point smr","smr","smr","targeted",0.012261481
2009,"deep_reef","South","north islands","harris point smr","smr","ref","nontargeted",8.35e-05
2009,"deep_reef","South","north islands","harris point smr","smr","ref","targeted",0.001599958
2009,"deep_reef","South","north islands","south point smr","smr","smr","targeted",0.038468298
2009,"deep_reef","South","north islands","south point smr","smr","ref","targeted",0.014691104
2011,"deep_reef","Central","north","southeast farallon island smca","smr","smca","targeted",0.004114692
2011,"deep_reef","Central","north","southeast farallon island smr","smr","smr","targeted",0.012360498
2011,"deep_reef","Central","north","southeast farallon island smr","smr","ref","targeted",0.005112077
2011,"deep_reef","North","north","bodega head smca","smca","smca","targeted",0.012226092
2011,"deep_reef","North","north","bodega head smca","smca","ref","targeted",0.003520747
2011,"deep_reef","North","north","bodega head smr","smr","smr","targeted",0.009477448
2011,"deep_reef","North","north","bodega head smr","smr","ref","targeted",0.003520747
2011,"deep_reef","North","north","point arena smca","smr","smca","targeted",0.018332098
2011,"deep_reef","North","north","point arena smca","smr","ref","targeted",0.006905449
2011,"deep_reef","North","north","point arena smr","smr","smr","targeted",0.034460854
2011,"deep_reef","North","north","point arena smr","smr","ref","targeted",0.006905449
2014,"deep_reef","North","north","sea lion gulch smr","smr","smr","targeted",0.008915201
2014,"deep_reef","North","north","sea lion gulch smr","smr","ref","nontargeted",6.38e-05
2014,"deep_reef","North","north","sea lion gulch smr","smr","ref","targeted",0.199511959
2014,"deep_reef","North","north","ten mile smr","smr","smr","targeted",0.112472144
2014,"deep_reef","North","north","ten mile smr","smr","ref","targeted",0.072476975
2014,"deep_reef","South","north islands","anacapa island smr","smr","smr","nontargeted",0.033970676
2014,"deep_reef","South","north islands","anacapa island smr","smr","smr","targeted",0.144783167
2014,"deep_reef","South","south","campus point smca","smr","smca","nontargeted",0.015978365
2014,"deep_reef","South","south","campus point smca","smr","smca","targeted",0.703719919
2014,"deep_reef","South","south","campus point smca","smr","ref","nontargeted",0.000720295
2014,"deep_reef","South","south","campus point smca","smr","ref","targeted",0.000236206
2014,"deep_reef","South","north islands","carrington point smr","smr","smr","nontargeted",0.006815954
2014,"deep_reef","South","north islands","carrington point smr","smr","smr","targeted",0.022779942
2014,"deep_reef","South","north islands","carrington point smr","smr","ref","nontargeted",0.000174257
2014,"deep_reef","South","north islands","carrington point smr","smr","ref","targeted",0.061249455
2014,"deep_reef","South","south","farnsworth offshore smca","smca","ref","nontargeted",0.009252947
2014,"deep_reef","South","south","farnsworth offshore smca","smca","ref","targeted",0.226930738
2014,"deep_reef","South","north islands","gull island smr","smr","smr","nontargeted",0.018807848
2014,"deep_reef","South","north islands","gull island smr","smr","smr","targeted",0.193747903
2014,"deep_reef","South","north islands","gull island smr","smr","ref","nontargeted",0.001240617
2014,"deep_reef","South","north islands","gull island smr","smr","ref","targeted",0.104626251
2014,"deep_reef","South","north islands","harris point smr","smr","smr","nontargeted",0.009611427
2014,"deep_reef","South","north islands","harris point smr","smr","smr","targeted",0.166811847
2014,"deep_reef","South","north islands","harris point smr","smr","ref","nontargeted",0.000808361
2014,"deep_reef","South","north islands","harris point smr","smr","ref","targeted",0.054022174
2014,"deep_reef","South","south","point conception smr","smr","ref","nontargeted",0.070558463
2014,"deep_reef","South","south","point conception smr","smr","ref","targeted",0.985589714
2014,"deep_reef","South","south","south la jolla smca","smca","smca","nontargeted",0.367648467
2014,"deep_reef","South","south","south la jolla smca","smca","smca","targeted",0.077271164
2014,"deep_reef","South","south","south la jolla smca","smca","ref","nontargeted",0.18113017
2014,"deep_reef","South","south","south la jolla smca","smca","ref","targeted",0.454321967
2014,"deep_reef","South","south","south la jolla smr","smr","smr","nontargeted",0.001259321
2014,"deep_reef","South","south","south la jolla smr","smr","ref","nontargeted",0.18113017
2014,"deep_reef","South","south","south la jolla smr","smr","ref","targeted",0.454321967
2014,"deep_reef","South","north islands","south point smr","smr","ref","nontargeted",0.003576468
2014,"deep_reef","South","north islands","south point smr","smr","ref","targeted",0.18063949
2014,"deep_reef","South","south","swami's smca","smca","smca","nontargeted",0.578471219
2014,"deep_reef","South","south","swami's smca","smca","smca","targeted",0.102602861
2014,"deep_reef","South","south","swami's smca","smca","ref","nontargeted",0.106279275
2014,"deep_reef","South","south","swami's smca","smca","ref","targeted",0.606845847
2015,"deep_reef","North","north","bodega head smca","smca","smca","nontargeted",0.002813663
2015,"deep_reef","North","north","bodega head smca","smca","smca","targeted",0.028867764
2015,"deep_reef","North","north","bodega head smca","smca","ref","nontargeted",0.000276959
2015,"deep_reef","North","north","bodega head smca","smca","ref","targeted",0.015142944
2015,"deep_reef","North","north","bodega head smr","smr","smr","nontargeted",3.61e-05
2015,"deep_reef","North","north","bodega head smr","smr","smr","targeted",0.019258913
2015,"deep_reef","North","north","bodega head smr","smr","ref","nontargeted",0.000276959
2015,"deep_reef","North","north","bodega head smr","smr","ref","targeted",0.015142944
2015,"deep_reef","North","central","montara smr","smr","smr","targeted",0.2457994
2015,"deep_reef","North","north","point arena smca","smr","ref","nontargeted",2.78e-05
2015,"deep_reef","North","north","point arena smca","smr","ref","targeted",0.051670135
2015,"deep_reef","North","north","point arena smr","smr","ref","nontargeted",2.78e-05
2015,"deep_reef","North","north","point arena smr","smr","ref","targeted",0.051670135
2015,"deep_reef","North","north","southeast farallon island smca","smr","smca","nontargeted",0.00328719
2015,"deep_reef","North","north","southeast farallon island smca","smr","smca","targeted",0.072117651
2015,"deep_reef","North","north","southeast farallon island smca","smr","ref","nontargeted",0.000184523
2015,"deep_reef","North","north","southeast farallon island smca","smr","ref","targeted",0.038331576
2015,"deep_reef","North","north","southeast farallon island smr","smr","ref","nontargeted",0.000184523
2015,"deep_reef","North","north","southeast farallon island smr","smr","ref","targeted",0.038331576
2016,"deep_reef","Central","central","big creek smr","smr","ref","nontargeted",0.004282451
2016,"deep_reef","Central","central","big creek smr","smr","ref","targeted",0.211280046
2016,"deep_reef","Central","central","piedras blancas smr","smr","smr","nontargeted",0.003660814
2016,"deep_reef","Central","central","piedras blancas smr","smr","smr","targeted",0.007853105
2016,"deep_reef","Central","central","point buchon smr","smr","smr","nontargeted",0.00517977
2016,"deep_reef","Central","central","point buchon smr","smr","smr","targeted",0.084550415
